start,end,length,type,first_value,min_value,max_value,patch_index_lead5
11017,11270,254,LOW,204.9949245911522,203.3100113755194,204.9977876226421,9567
12447,12846,400,LOW,204.98642413643023,202.666910727704,204.9920844247761,10997
13525,13623,99,LOW,204.98871654483744,204.0185443026986,204.98871654483744,12075
23990,24231,242,LOW,204.9750262422796,203.96002059435335,204.99315448589027,22540
25171,25342,172,LOW,204.98131152495912,203.2182342116899,204.98444904100543,23721
25404,25702,299,LOW,204.9831422342242,203.9096762507436,204.991771318947,23954
25705,25707,3,LOW,204.99755428003328,204.99755428003328,204.99983106705093,24255
25902,25911,10,LOW,204.98006815036288,204.8747501359357,204.9884126526581,24452
26695,26748,54,LOW,204.97984602545424,204.06175222787,204.9845991569061,25245
27137,27158,22,LOW,204.9843557740573,204.95236255237756,204.99851143231356,25687
